item_id	name	category	unit_price
220	APITO TREM	Geral	2.00
221	APONTADOR	PAPELARIA	2.50
222	apontador  star lux	Geral	3.00
223	APONTADOR 0757	Geral	5.00
224	APONTADOR AMARELO	Geral	3.00
225	APONTADOR BICHOS	Geral	7.00
226	apontador de ursinhos colors	Geral	5.00
227	APONTADOR DUPLO  IMPORTADO	Geral	7.00
228	apontador grande	Geral	4.00
229	APONTADOR GRANDE FULEJIA	Geral	7.00
230	APONTADOR LEO LEO	Geral	4.00
231	APONTADOR LEO LEO	Geral	5.00
232	APONTADOR LEO LEO GRANDE	Geral	2.80
233	APONTADOR MEDIO	Geral	2.00
234	APONTADOR PEQ	Geral	2.00
235	APONTADOR PEQ	PAPELARIA	3.00
236	APONTADOR REDONDO C/DEPOSITO	Geral	3.00
237	apontador redondo grande  sortido	PAPELARIA	3.00
238	APONTADOR STARSCHOOL PEQ	Geral	2.00
239	APRENDENDO O ALFABETO	Geral	21.00
240	aqua park judy	Geral	90.00
241	aquabalão	kit FESTA	12.00
242	ARCO E FLECHA    folia  imports	BRINQUEDOS	23.00
243	ARCO E FLECHA BRINQUEDO	BRINQUEDOS	20.00
244	ARCO E FLECHA C/5 ALTIMIX	BRINQUEDOS	35.00
245	ARCO E FLECHA MEDIO 5 PÇS	BRINQUEDOS	25.00
246	AREIA AMARELA	Geral	4.00
247	AREIA BRANCA	Geral	4.00
248	AREIA ROSA	Geral	4.00
249	AREIA VERMELHA	Geral	4.00
250	arejador de torneira	Geral	4.00
251	AREJADOR DE TORNEIRA	UTILIDADES	3.00
252	ARGILA   MODELAR	Geral	5.50
253	ARGILA EXPANDIDA	Geral	5.50
254	ARGILA EXPANDIDA 500g	JARDINAGEM	2.50
255	ARGILA EXPANDIDA TERRA BRASIL	Geral	4.00
256	argila massa	Geral	4.00
257	argolas brinco	Geral	3.00
258	ARGOLAS G	Geral	8.00
259	argolas medio	Geral	5.00
260	argolas p	Geral	4.00
261	ARMA DE AGUA	Geral	20.00
262	ARMA SHOOTING TIRO AO ALVO	BRINQUEDOS	20.00
263	ARMINHA  DE POLICIA DARDOS	Geral	20.00
264	ARMINHA D'AGUA	BRINQUEDOS	25.00
265	arminha de brinquedo	Geral	35.00
266	ARMINHA DE BRINQUEDO	Geral	50.00
267	ARMINHA PEQUENA AGUÁ	Geral	10.00
268	arqueiro medieval	Geral	30.00
269	ARQUINHO LAÇO	Geral	7.00
270	ARQUINHO SOLTO	Geral	4.00
271	arquinho sortido	Geral	3.00
272	ARRANJO GERBERA	Geral	25.00
273	ARRANJO GIRASSOL	Geral	20.00
274	ARRANJO GIRASSOL G	Geral	42.00
275	ARRANJO GIRASSOL GRANDE	Geral	42.00
276	asadeira retangular 01	ALUMINIO	18.00
277	ASPIRADOR NASAL	Geral	13.00
278	assadeeira alta n 2 aluminio brilho lar	ALUMINIO	23.00
279	ASSADEIRA   4 800 ML	Geral	40.00
280	assadeira  torta redonda n 30 mp	ALUMINIO	30.00
281	ASSADEIRA 2L N2	Geral	22.00
282	ASSADEIRA ALTA N 4 BRILHO LAR	Geral	37.00
283	ASSADEIRA ALTA POLIDA N3 3.6L	ALUMINIO	30.00
284	assadeira aluminio  mp n 2	Geral	22.00
285	ASSADEIRA ANTIADERENTE	Geral	57.00
286	ASSADEIRA CORAÇAO 03	Geral	37.00
287	ASSADEIRA DE ALUMÍNIO BRILHO LAR	COZINHA	23.00
288	ASSADEIRA DE ALUMINIO MP N 3	Geral	32.00
289	ASSADEIRA DE PAO 03	COZINHA	22.00
290	ASSADEIRA DE PUDIM REDONDA N 16	ALUMINIO	18.00
291	ASSADEIRA DE VIDRO MARINEX OPALINE	CERAMICAS, PORCELANATO	26.00
292	ASSADEIRA DESCARTÁVEL DE ALUMINIO	Geral	12.00
293	ASSADEIRA FUNDO FALSO	Geral	43.00
294	ASSADEIRA FUNDO FALSO	Geral	28.80
295	assadeira fundo falso n3	Geral	49.99
296	ASSADEIRA GRANDE OPALINE 1,4L	CERAMICAS, PORCELANATO	40.00
297	ASSADEIRA n 3 alta aluminio brilho lar	ALUMINIO	28.00
298	ASSADEIRA N5 ALTA POLIDA 6,9L	ALUMINIO	50.00
299	ASSADEIRA NACIONAL PÃO N°2	Geral	15.00
300	ASSADEIRA OBLONG N1 1,86L	Geral	40.00
301	ASSADEIRA OVAL MEDIA OPALINE 1L	CERAMICAS, PORCELANATO	30.00
302	ASSADEIRA PANEFLOR N 4	Geral	40.00
303	ASSADEIRA PAO 02 MP	COZINHA	18.00
304	ASSADEIRA PAO 03	Geral	21.50
305	ASSADEIRA PIZZA 35	Geral	27.50
306	ASSADEIRA POLIDA 4,8L	Geral	40.00
307	ASSADEIRA RET ALTA POLIDA N1	COZINHA	18.00
308	ASSADEIRA RETA LISA N°1	Geral	17.50
309	ASSADEIRA RETANGULAR 01	Geral	20.00
310	assadeira retangular 02	Geral	20.00
311	assadeira retangular 02	ALUMINIO	20.00
312	assadeira retangular 03	ALUMINIO	22.00
313	assadeira retangular 04	ALUMINIO	32.50
314	ASSADEIRA RETANGULAR 05	ALUMINIO	40.00
315	assadeira retangular 05	ALUMINIO	40.00
316	ASSADEIRA RETANGULAR 2,4 LTS	ALUMINIO	19.00
317	assadeira retangular 24x35 2,8LT	ALUMINIO	21.00
318	ASSADEIRA RETANGULAR 27X40 FOSCA - 4,2 L	ALUMINIO	23.00
319	ASSADEIRA RETANGULAR 4,2L	Geral	35.00
320	assadeira retangular 5 redar	ALUMINIO	40.00
321	ASSADEIRA RETANGULAR 8,5L	UTILIDADES	18.00
322	ASSADEIRA RETANGULAR ALTA N2	Geral	30.00
323	assadeira torta 22	Geral	20.00
324	ASSADEIRA TORTA 28	ALUMINIO	25.00
325	assadeira torta redonda n 35 mp	ALUMINIO	50.00
326	ASSENTO DE VASO BRANCO	UTILIDADES	30.00
327	ASSENTO SABI VERMELHO (MENDES CONFECÇÕES)	Geral	10.00
328	ASSENTO SANITARIO	Geral	25.00
329	ATLAS GEOGRÁFICO	PAPELARIA	3.50
330	AVCNGENS SERIES	Geral	120.00
